Tiempo,Fuerza,Ataque,Salida,Verticalidad
19:53:15,18.79,13.2,0.0,3.0
19:53:15,12.23,76.3,0.0,-1.8
19:53:16,10.28,0.0,-39.5,33.5
19:53:16,13.17,0.0,-5.6,32.3
19:53:16,18.1,0.0,-35.2,15.6
19:53:16,23.77,0.0,-61.8,-7.7
19:53:16,56.53,0.0,-66.4,-3.8
19:53:16,77.54,0.0,-71.7,8.5
19:53:16,56.59,0.0,-64.2,10.7
19:53:16,39.07,0.0,-76.9,5.7
19:53:16,33.32,0.0,-46.0,2.6
19:53:16,25.49,0.0,-10.5,4.4
19:53:17,15.38,33.0,0.0,-4.8
19:53:17,10.69,0.0,-84.9,1.7
19:53:17,11.81,0.0,-13.5,31.8
19:53:17,16.39,0.0,-5.2,76.2
19:53:17,20.5,0.0,-48.9,-3.2
19:53:17,41.01,0.0,-67.2,-4.7
19:53:17,79.36,0.0,-62.5,3.9
19:53:17,73.78,0.0,-68.1,9.9
19:53:17,49.72,0.0,-63.3,5.0
19:53:17,39.52,0.0,-75.3,8.8
19:53:18,32.34,0.0,-21.4,2.9
19:53:18,19.7,19.6,0.0,3.2
19:53:18,11.87,79.2,0.0,1.8
19:53:18,10.41,0.0,-15.5,35.7
19:53:18,14.56,0.0,-8.1,37.6
19:53:18,18.44,0.0,-35.0,-3.9
19:53:18,24.17,0.0,-59.2,-9.7
19:53:18,56.25,0.0,-64.2,-4.0
19:53:18,78.09,0.0,-63.7,8.0
19:53:18,58.38,0.0,-70.3,8.9
19:53:19,39.94,0.0,-81.7,4.4
19:53:19,34.5,0.0,-32.8,5.1
19:53:19,24.68,2.3,0.0,6.0
19:53:19,13.22,66.9,0.0,-10.5
19:53:19,9.89,0.0,-76.7,7.5
19:53:19,12.65,0.0,-6.6,25.1
19:53:19,18.1,0.0,-22.0,58.4
19:53:19,21.55,0.0,-58.9,-1.8
19:53:19,49.28,0.0,-61.0,-2.8
19:53:19,78.79,0.0,-69.2,7.1
19:53:20,63.24,0.0,-60.5,8.9
19:53:20,42.75,0.0,-66.8,7.8
19:53:20,34.65,0.0,-54.2,13.4
19:53:20,26.55,0.0,-10.0,10.0
19:53:20,15.67,40.1,0.0,-4.6
19:53:20,10.47,80.3,0.0,-7.4
19:53:20,10.87,0.0,-5.9,31.3
19:53:20,15.9,0.0,-16.1,57.7
19:53:20,19.69,0.0,-54.4,-3.2
19:53:20,34.16,0.0,-61.3,-6.8
19:53:21,71.12,0.0,-67.3,3.4
19:53:21,73.19,0.0,-63.3,9.9
19:53:21,50.49,0.0,-72.8,8.6
19:53:21,38.92,0.0,-59.9,12.4
19:53:21,31.66,0.0,-20.8,10.5
19:53:21,20.41,10.0,0.0,2.2
19:53:21,12.03,79.5,0.0,-7.1
19:53:21,11.06,0.0,-29.1,10.2
19:53:21,14.76,0.0,-12.3,37.4
19:53:21,18.58,0.0,-32.7,4.7
19:53:22,26.45,0.0,-57.2,-6.5
19:53:22,61.59,0.0,-71.2,2.0
19:53:22,75.61,0.0,-64.8,9.9
19:53:22,53.97,0.0,-73.0,9.9
19:53:22,41.44,0.0,-51.8,16.6
19:53:22,35.32,0.0,-29.2,16.7
19:53:22,23.77,5.3,0.0,8.3
19:53:22,13.15,70.3,0.0,-10.4
19:53:22,11.18,0.0,-34.1,18.9
19:53:22,14.65,0.0,-15.7,29.7
19:53:23,18.41,0.0,-19.3,-0.3
19:53:23,24.13,0.0,-59.2,-0.9
19:53:23,54.09,0.0,-58.6,-4.6
19:53:23,75.94,0.0,-63.2,4.5
19:53:23,58.62,0.0,-68.9,9.5
19:53:23,41.07,0.0,-58.0,15.1
19:53:23,32.29,0.0,-44.9,12.7
19:53:23,22.77,0.0,-11.7,9.4
19:53:23,13.41,62.2,0.0,-5.4
19:53:24,10.18,0.0,-58.4,25.2
19:53:24,12.76,0.0,-8.8,22.1
19:53:24,18.48,0.0,-11.0,73.8
19:53:24,20.73,0.0,-48.7,-3.8
19:53:24,40.62,0.0,-67.0,1.8
19:53:24,75.46,0.0,-61.9,12.4
19:53:24,64.18,0.0,-65.4,13.8
